operation, CNOT count, 1-qubit Clifford count, T count, R count, M count, T depth, initial width, extra width, comment, full depth
QSKINNY_128_384.Round, 2448, 612, 896, 0, 0, 4, 512, 4, round = 16, 42
QSKINNY_128_384.Round, 2448, 613, 896, 0, 0, 4, 512, 4, round = 17, 42
QSKINNY_128_384.Round, 2448, 613, 896, 0, 0, 4, 512, 4, round = 18, 42
QSKINNY_128_384.Round, 2448, 613, 896, 0, 0, 4, 512, 4, round = 19, 42
QSKINNY_128_384.Round, 2448, 613, 896, 0, 0, 4, 512, 4, round = 20, 42
QSKINNY_128_384.Round, 2448, 612, 896, 0, 0, 4, 512, 4, round = 21, 42
QSKINNY_128_384.Round, 2448, 612, 896, 0, 0, 4, 512, 4, round = 22, 42
QSKINNY_128_384.Round, 2448, 611, 896, 0, 0, 4, 512, 4, round = 23, 42
QSKINNY_128_384.Round, 2448, 611, 896, 0, 0, 4, 512, 4, round = 24, 42
QSKINNY_128_384.Round, 2448, 611, 896, 0, 0, 4, 512, 4, round = 25, 42
QSKINNY_128_384.Round, 2448, 610, 896, 0, 0, 4, 512, 4, round = 26, 42
QSKINNY_128_384.Round, 2448, 611, 896, 0, 0, 4, 512, 4, round = 27, 42
QSKINNY_128_384.Round, 2448, 612, 896, 0, 0, 4, 512, 4, round = 28, 42
QSKINNY_128_384.Round, 2448, 613, 896, 0, 0, 4, 512, 4, round = 29, 42
QSKINNY_128_384.Round, 2448, 613, 896, 0, 0, 4, 512, 4, round = 30, 42
QSKINNY_128_384.Round, 2448, 612, 896, 0, 0, 4, 512, 4, round = 31, 42
QSKINNY_128_384.Round, 2448, 612, 896, 0, 0, 4, 512, 4, round = 32, 42
QSKINNY_128_384.Round, 2448, 612, 896, 0, 0, 4, 512, 4, round = 33, 42
QSKINNY_128_384.Round, 2448, 612, 896, 0, 0, 4, 512, 4, round = 34, 42
QSKINNY_128_384.Round, 2448, 611, 896, 0, 0, 4, 512, 4, round = 35, 42
QSKINNY_128_384.Round, 2448, 612, 896, 0, 0, 4, 512, 4, round = 36, 42
